network_Gin_1,network_Gin_2,network_Gin_3,network_cAMP_1,network_cAMP_2,network_cAMP_3,network_Ca_1,network_Ca_2,network_Ca_3,network_S_1,network_S_2,network_S_3,network_I_1,network_I_2,network_I_3,meta_network_Gin_1,meta_network_Gin_2,meta_network_Gin_3,meta_network_cAMP_1,meta_network_cAMP_2,meta_network_cAMP_3,meta_network_Ca_1,meta_network_Ca_2,meta_network_Ca_3,meta_network_S_1,meta_network_S_2,meta_network_S_3,meta_network_I_1,meta_network_I_2,meta_network_I_3
2.5555,2e-12,1.41421356237309e-06,0.00114780524771156,1.12500019044239e-12,1.06066026155522e-06,8.83297686320551e-05,1.33643950834309e-12,1.15604476917769e-06,30.045011964298,0.154592291250362,0.3931822621258,22.2233024886955,0.0465689521586951,0.215798406293223,2.96839375720822,0.00306166763714156,0.0553323380776699,0.000946522347141998,1.12710678422524e-10,1.06165285485663e-05,7.14551041142658e-05,1.77589930613188e-12,1.33262872028629e-06,24.1287066457906,0.195175861489559,0.441787122367276,17.898170747764,0.0576874763836228,0.240182173326046
2.5555,2e-12,1.41421356237309e-06,0.0011478117705588,1.12500019047487e-12,1.06066026157053e-06,8.83112399972377e-05,1.33643975916693e-12,1.1560448776613e-06,30.0321213349888,0.154592407164397,0.393182409530738,22.1576114537008,0.0465750705173732,0.215812581925552,3.06371185295815,0.00329911654394989,0.0574379364527478,0.000960171725843272,1.28321837681955e-10,1.13279229200218e-05,7.21322476146915e-05,1.86636658698409e-12,1.36615027979505e-06,24.2947324057628,0.205393950083894,0.453204093189695,17.8199318989339,0.062266205889386,0.249531973681502
2.5555,2e-12,1.41421356237309e-06,0.00114781535084707,1.12500019047857e-12,1.06066026157228e-06,8.83022265585889e-05,1.3364398218974e-12,1.1560449047928e-06,30.0258215990205,0.154592436159756,0.393182446403392,22.1200268816694,0.0465769247959019,0.215816877921774,3.17373668567438,0.00353437385667838,0.0594506001372432,0.000976552102735611,1.43853847370693e-10,1.19939087611459e-05,7.29958160987036e-05,1.95777948339883e-12,1.39920673361688e-06,24.5249672373276,0.215851988688351,0.464598739439046,17.8418545317567,0.067299931827577,0.259422304028734
2.5555,2e-12,1.41421356237309e-06,0.00114781724727943,1.12500019047901e-12,1.06066026157248e-06,8.82978575426355e-05,1.33643983758379e-12,1.15604491157731e-06,30.0227570298431,0.154592443411141,0.393182455624791,22.0989183766859,0.0465774773921429,0.215818158161316,3.29887628927915,0.003767342675963,0.0613786825857561,0.000995981698984065,1.59281340925144e-10,1.26206711756999e-05,7.40576025304117e-05,2.04943626866325e-12,1.43158522926972e-06,24.8185768787038,0.226419306163492,0.475835377166822,17.9374589742672,0.0726363868752729,0.269511385427913
2.5555,2e-12,1.41421356237309e-06,0.00114781823092501,1.12500019047906e-12,1.06066026157251e-06,8.82957459743678e-05,1.33643984150606e-12,1.15604491327373e-06,30.0212715646179,0.15459244522478,0.39318245793115,22.0872376241811,0.0465776397612374,0.215818534332057,3.43898334640346,0.00399795222076192,0.0632293620145097,0.00101873971042621,1.74587868452065e-10,1.3213170265007e-05,7.53357715278285e-05,2.14090686174669e-12,1.46318380996602e-06,25.1795792552353,0.237014807490049,0.486841665729269,18.0932032763912,0.0781583640649731,0.279568174270558
2.5555,2e-12,1.41421356237309e-06,0.0011478187345576,1.12500019047907e-12,1.06066026157251e-06,8.82947280227433e-05,1.33643984248661e-12,1.15604491369783e-06,30.0205536311684,0.154592445677973,0.393182458507463,22.0808509092447,0.0465776868995474,0.215818643540236,3.59318598738745,0.00422611794542159,0.0650085990113738,0.0010450412706972,1.89762148626671e-10,1.37754182741095e-05,7.68501928880102e-05,2.23192701218722e-12,1.49396352438312e-06,25.614165527001,0.247588849538712,0.49758300768687,18.303801519057,0.0837826256693506,0.289452285652317
2.5555,2e-12,1.41421356237309e-06,0.0011478189903105,1.12500019047907e-12,1.06066026157251e-06,8.82942384174129e-05,1.33643984273177e-12,1.15604491380386e-06,30.0202075277156,0.154592445791521,0.393182458651859,22.0773937849258,0.0465777004431411,0.21581867491749,3.75984519753863,0.00445179163963094,0.0667217478760182,0.00107500445262897,2.04795458505176e-10,1.43106763818198e-05,7.8618969420357e-05,2.3223292461683e-12,1.52391904186814e-06,26.1290586752024,0.258110728063502,0.508045990106705,18.5688689952813,0.0894528883057737,0.299086757155468
2.5555,2e-12,1.41421356237309e-06,0.00114781911949915,1.12500019047907e-12,1.06066026157251e-06,8.829400345141e-05,1.33643984279313e-12,1.1560449138304e-06,30.0200410619429,0.154592445819734,0.393182458687737,22.0755377989606,0.0465777042992778,0.215818683851231,3.93650309931965,0.00467492120486507,0.0683733954463654,0.00110862101446899,2.19681345682815e-10,1.48216512468353e-05,8.06558081887545e-05,2.41200583190197e-12,1.55306337021448e-06,26.730449010578,0.268561256373383,0.518228961341783,18.8907067974739,0.0951322926156996,0.308435232448726
2.5555,2e-12,1.41421356237309e-06,0.00114781918453087,1.12500019047908e-12,1.06066026157251e-06,8.82938909372123e-05,1.33643984280854e-12,1.15604491383706e-06,30.0199611734161,0.154592445826864,0.393182458696803,22.0745488364356,0.0465777053887944,0.215818686375379,4.11998122759027,0.00489547222602357,0.0699676512827433,0.00114572419856152,2.34414417252374e-10,1.53105982003439e-05,8.29671915373106e-05,2.50088302971291e-12,1.58141804394439e-06,27.4229801972895,0.278927903158179,0.528136254349367,19.2727278696563,0.100797020442688,0.31748546493137
2.5555,2e-12,1.41421356237309e-06,0.00114781921719254,1.12500019047908e-12,1.06066026157252e-06,8.82938371813245e-05,1.33643984281233e-12,1.1560449138387e-06,30.0199229187939,0.154592445828646,0.39318245869907,22.0740248118837,0.0465777056943814,0.215818687083351,4.30653506777854,0.00511339732570319,0.0715080228065578,0.00118596810304398,2.48989969202605e-10,1.57794159968804e-05,8.55498920466365e-05,2.58890705582131e-12,1.60900809687873e-06,28.2088390497195,0.28920204188941,0.537775084853706,19.7183388895554,0.106431678749902,0.326238683711638
