0	92.0	25.0
1	97.3333333333	47.7777777778
2	102.666666667	70.5555555556
3	108.0	93.3333333333
4	113.333333333	116.111111111
5	118.666666667	138.888888889
6	124.0	161.666666667
7	129.333333333	184.444444444
8	134.666666667	207.222222222
9	140.0	230.0
10	140.0	230.0
11	144.222222222	237.777777778
12	148.444444444	245.555555556
13	152.666666667	253.333333333
14	156.888888889	261.111111111
15	161.111111111	268.888888889
16	165.333333333	276.666666667
17	169.555555556	284.444444444
18	173.777777778	292.222222222
19	178.0	300.0
20	178.0	300.0
21	177.666666667	302.888888889
22	177.333333333	305.777777778
23	177.0	308.666666667
24	176.666666667	311.555555556
25	176.333333333	314.444444444
26	176.0	317.333333333
27	175.666666667	320.222222222
28	175.333333333	323.111111111
29	175.0	326.0
30	175.0	326.0
31	173.333333333	329.777777778
32	171.666666667	333.555555556
33	170.0	337.333333333
34	168.333333333	341.111111111
35	166.666666667	344.888888889
36	165.0	348.666666667
37	163.333333333	352.444444444
38	161.666666667	356.222222222
39	160.0	360.0
40	160.0	360.0
41	158.0	355.0
42	156.0	350.0
43	154.0	345.0
44	152.0	340.0
45	150.0	335.0
46	148.0	330.0
47	146.0	325.0
48	144.0	320.0
49	142.0	315.0
50	142.0	315.0
51	140.333333333	304.444444444
52	138.666666667	293.888888889
53	137.0	283.333333333
54	135.333333333	272.777777778
55	133.666666667	262.222222222
56	132.0	251.666666667
57	130.333333333	241.111111111
58	128.666666667	230.555555556
59	127.0	220.0
60	127.0	220.0
61	125.333333333	210.888888889
62	123.666666667	201.777777778
63	122.0	192.666666667
64	120.333333333	183.555555556
65	118.666666667	174.444444444
66	117.0	165.333333333
67	115.333333333	156.222222222
68	113.666666667	147.111111111
69	112.0	138.0
70	112.0	138.0
71	110.888888889	131.555555556
72	109.777777778	125.111111111
73	108.666666667	118.666666667
74	107.555555556	112.222222222
75	106.444444444	105.777777778
76	105.333333333	99.3333333333
77	104.222222222	92.8888888889
78	103.111111111	86.4444444444
79	102.0	80.0
80	102.0	80.0
81	101.555555556	77.5555555556
82	101.111111111	75.1111111111
83	100.666666667	72.6666666667
84	100.222222222	70.2222222222
85	99.7777777778	67.7777777778
86	99.3333333333	65.3333333333
87	98.8888888889	62.8888888889
88	98.4444444444	60.4444444444
89	98.0	58.0
90	98.0	58.0
91	97.6666666667	56.2222222222
92	97.3333333333	54.4444444444
93	97.0	52.6666666667
94	96.6666666667	50.8888888889
95	96.3333333333	49.1111111111
96	96.0	47.3333333333
97	95.6666666667	45.5555555556
98	95.3333333333	43.7777777778
99	95.0	42.0
100	95.0	42.0
101	95.0	41.5555555556
102	95.0	41.1111111111
103	95.0	40.6666666667
104	95.0	40.2222222222
105	95.0	39.7777777778
106	95.0	39.3333333333
107	95.0	38.8888888889
108	95.0	38.4444444444
109	95.0	38.0
110	95.0	38.0
111	95.0	37.6666666667
112	95.0	37.3333333333
113	95.0	37.0
114	95.0	36.6666666667
115	95.0	36.3333333333
116	95.0	36.0
117	95.0	35.6666666667
118	95.0	35.3333333333
119	95.0	35.0
120	95.0	35.0
121	95.0	34.8888888889
122	95.0	34.7777777778
123	95.0	34.6666666667
124	95.0	34.5555555556
125	95.0	34.4444444444
126	95.0	34.3333333333
127	95.0	34.2222222222
128	95.0	34.1111111111
129	95.0	34.0
130	95.0	34.0
131	95.0	33.5555555556
132	95.0	33.1111111111
133	95.0	32.6666666667
134	95.0	32.2222222222
135	95.0	31.7777777778
136	95.0	31.3333333333
137	95.0	30.8888888889
138	95.0	30.4444444444
139	95.0	30.0
140	95.0	30.0
141	95.0	30.0
142	95.0	30.0
143	95.0	30.0
144	95.0	30.0
145	95.0	30.0
146	95.0	30.0
147	95.0	30.0
148	95.0	30.0
149	95.0	30.0
150	95.0	30.0
151	94.8888888889	29.7777777778
152	94.7777777778	29.5555555556
153	94.6666666667	29.3333333333
154	94.5555555556	29.1111111111
155	94.4444444444	28.8888888889
156	94.3333333333	28.6666666667
157	94.2222222222	28.4444444444
158	94.1111111111	28.2222222222
159	94.0	28.0
160	94.0	28.0
161	94.0	27.7777777778
162	94.0	27.5555555556
163	94.0	27.3333333333
164	94.0	27.1111111111
165	94.0	26.8888888889
166	94.0	26.6666666667
167	94.0	26.4444444444
168	94.0	26.2222222222
169	94.0	26.0
170	94.0	26.0
171	93.8888888889	25.7777777778
172	93.7777777778	25.5555555556
173	93.6666666667	25.3333333333
174	93.5555555556	25.1111111111
175	93.4444444444	24.8888888889
176	93.3333333333	24.6666666667
177	93.2222222222	24.4444444444
178	93.1111111111	24.2222222222
179	93.0	24.0
180	93.0	24.0
181	92.8888888889	23.7777777778
182	92.7777777778	23.5555555556
183	92.6666666667	23.3333333333
184	92.5555555556	23.1111111111
185	92.4444444444	22.8888888889
186	92.3333333333	22.6666666667
187	92.2222222222	22.4444444444
188	92.1111111111	22.2222222222
189	92.0	22.0
190	92.0	22.0
191	91.8888888889	21.8888888889
192	91.7777777778	21.7777777778
193	91.6666666667	21.6666666667
194	91.5555555556	21.5555555556
195	91.4444444444	21.4444444444
196	91.3333333333	21.3333333333
197	91.2222222222	21.2222222222
198	91.1111111111	21.1111111111
199	91.0	21.0
