Var1,Imeal_1,Imeal_2
85,24.3442799999971,1.10579944263848
85,25.1586199751209,1.1612109921216
85,26.3902264155965,1.19186306411362
85,27.8185815826484,1.21126003972651
85,29.3539411684066,1.2245886174819
85,30.9529421757123,1.23427184870534
85,32.5920987378018,1.24159456456075
85,34.2576115515549,1.24730184193912
85,35.9408655875691,1.25185565688636
85,37.6362267137321,1.25555776077091
85,37.7825850159866,1.2586136484822
85.5555555556,38.6970759930214,1.26116813566337
86.1111111111,39.6047765858971,1.26332623595802
86.6666666667,40.5067447676177,1.26516596898669
87.2222222222,41.4038058004796,1.26674651805938
87.7777777778,42.2966177380612,1.26811359533885
88.3333333333,43.1857157863763,1.26930306974048
88.8888888889,44.0715430518115,1.27034348041787
89.4444444444,44.9544722908912,1.27125781590328
90,45.8348215769595,1.27206479771433
90,45.8817796404581,1.27277982242338
92.2222222222,50.4914424971496,1.27341566381818
94.4444444444,55.1156514141836,1.27398300363154
96.6666666667,59.7520150703314,1.27449083785435
98.8888888889,64.3985570359956,1.27494679146495
101.111111111,69.0536392210323,1.27535736486321
103.333333333,73.7159011291783,1.27572812876389
105.555555556,78.3842112306332,1.27606387976231
107.777777778,83.0576277204495,1.27636876558221
110,87.7353666195275,1.27664638672791
110,87.7870464189257,1.27689987960776
112.777777778,93.7304114142976,1.27713198498566
115.555555556,99.6787876678169,1.27734510472293
118.333333333,105.631519592736,1.27754134910481
121.111111111,111.588056605305,1.27772257654338
123.888888889,117.547937043049,1.27789042706602
126.666666667,123.510774623926,1.27804635070631
129.444444444,129.476246999237,1.27819163168811
132.222222222,135.444086058374,1.27832740911815
135,141.414069687411,1.27845469476478
135,141.458225100506,1.2785743883928
137.777777778,155.825199761949,1.27868729103773
140.555555556,170.199443583271,1.27879411653529
143.333333333,184.58032355641,1.27889550156638
146.111111111,198.967300015042,1.27899201443395
148.888888889,213.359913739089,1.27908416275223
151.666666667,227.757774814567,1.27917240019962
154.444444444,242.160552991453,1.27925713246259
157.222222222,256.567969346509,1.27933872247839
160,270.979789061835,1.27941749506794
160,271.03431423912,1.27949374103706
161.666666667,267.332808107217,1.27956772081276
163.333333333,263.628232948094,1.27963966767182
165,259.920849218107,1.27970979061134
166.666666667,256.210887017225,1.27977827690388
168.333333333,252.498549558185,1.27984529437424
170,248.784016237155,1.27991099343034
171.666666667,245.067445353008,1.27997550887623
173.333333333,241.348976516883,1.28003896153194
175,237.628732788052,1.28010145968168
175,237.665274763846,1.28016310036962
175.555555556,238.134327866886,1.28022397055968
176.111111111,238.602963134292,1.28028414817431
176.666666667,239.071231162002,1.28034370302527
177.222222222,239.539177277148,1.28040269764793
177.777777778,240.006842082023,1.28046118804933
178.333333333,240.474261930815,1.28051922437923
178.888888889,240.94146936973,1.28057685153212
179.444444444,241.408493520581,1.28063410968745
180,241.875360437398,1.28069103479454
180,241.908077584792,1.28074765900786
179.444444444,246.149699306443,1.28080401107785
178.888888889,250.392099115815,1.28086011670184
178.333333333,254.635288575871,1.28091599883914
177.777777778,258.879278521047,1.28097167799403
177.222222222,263.124079093493,1.28102717246983
176.666666667,267.369699768318,1.28108249859718
176.111111111,271.61614939105,1.28113767093894
175.555555556,275.863436203277,1.2811927024742
175,280.111567879827,1.2812476047636
