Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18
Scell.C,Scell.C,Scell.C,Scell.pancreas,Scell.pancreas,Scell.pancreas,Scell.obs,Scell.obs,Scell.obs,Sis.pancreas,Sis.pancreas,Sis.pancreas,Spa.pancreas,Spa.pancreas,Spa.pancreas,Spa.C,Spa.C,Spa.C
9.32000000000476e-09,1.99600798403193e-23,4.4676705160877e-12,9.32000000000477e-09,9.99001996007982e-24,3.16069928339914e-12,,,,1.06248000000041e-05,1.01298302993999e-15,3.1827394331613e-08,33.9993600000184,0.0103829462265871,0.101896742963586,33.9993600000244,0.010392946226589,0.101945800436256
9.32108661463357e-09,1.99600798403193e-23,4.4676705160877e-12,9.3210877012482e-09,9.99001996007982e-24,3.16069928339914e-12,,,,1.06260399794216e-05,1.01298302993999e-15,3.1827394331613e-08,34.0033279341545,0.0103829462265871,0.101896742963586,34.0033279341605,0.010392946226589,0.101945800436256
9.48594421977166e-09,1.99600798403193e-23,4.4676705160877e-12,9.48611016399143e-09,9.99001996007982e-24,3.16069928339914e-12,,,,1.08141655869488e-05,1.01298302993999e-15,3.1827394331613e-08,34.6053298782418,0.0103829462265871,0.101896742963586,34.6053298782479,0.010392946226589,0.101945800436256
9.69053422947513e-09,1.99600798403193e-23,4.4676705160877e-12,9.69090476370461e-09,9.99001996007982e-24,3.16069928339914e-12,,,,1.10476314306218e-05,1.01298302993999e-15,3.1827394331613e-08,35.3524205779955,0.0103829462265871,0.101896742963586,35.3524205780017,0.010392946226589,0.101945800436256
9.91234003739608e-09,1.99600798403193e-23,4.4676705160877e-12,9.91293237743348e-09,9.99001996007982e-24,3.16069928339914e-12,,,,1.13007429102727e-05,1.01298302993999e-15,3.1827394331613e-08,36.1623773128784,0.0103829462265871,0.101896742963586,36.1623773128848,0.010392946226589,0.101945800436256
1.01747580032407e-08,1.99600798403193e-23,4.4676705160877e-12,1.01756127612439e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.16001985478166e-05,1.01298302993999e-15,3.1827394331613e-08,37.120635353019,0.0103829462265871,0.101896742963586,37.1206353530256,0.010392946226589,0.101945800436256
1.04848984706421e-08,1.99600798403193e-23,4.4676705160877e-12,1.04860633691127e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.1954112240787e-05,1.01298302993999e-15,3.1827394331613e-08,38.2531591705244,0.0103829462265871,0.101896742963586,38.2531591705312,0.010392946226589,0.101945800436256
1.08507146780934e-08,1.99600798403193e-23,4.4676705160877e-12,1.08522453927715e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.23715597477579e-05,1.01298302993999e-15,3.1827394331613e-08,39.5889911928316,0.0103829462265871,0.101896742963586,39.5889911928386,0.010392946226589,0.101945800436256
1.12808868104637e-08,1.99600798403193e-23,4.4676705160877e-12,1.12828476972741e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.28624463748908e-05,1.01298302993999e-15,3.1827394331613e-08,41.1598283996572,0.0103829462265871,0.101896742963586,41.1598283996645,0.010392946226589,0.101945800436256
1.17846088798222e-08,1.99600798403193e-23,4.4676705160877e-12,1.17870734887021e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.34372637771186e-05,1.01298302993999e-15,3.1827394331613e-08,42.9992440867864,0.0103829462265871,0.101896742963586,42.999244086794,0.010392946226589,0.101945800436256
1.23712297528376e-08,1.99600798403193e-23,4.4676705160877e-12,1.23742809825904e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.41066803201513e-05,1.01298302993999e-15,3.1827394331613e-08,45.1413770244913,0.0103829462265871,0.101896742963586,45.1413770244993,0.010392946226589,0.101945800436256
1.30497244748724e-08,1.99600798403193e-23,4.4676705160877e-12,1.30534541993473e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.4880937787254e-05,1.01298302993999e-15,3.1827394331613e-08,47.6190009192204,0.0103829462265871,0.101896742963586,47.6190009192288,0.010392946226589,0.101945800436256
1.38279683311483e-08,1.99600798403193e-23,4.4676705160877e-12,1.38324762994794e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.57690229814045e-05,1.01298302993999e-15,3.1827394331613e-08,50.4608735405025,0.0103829462265871,0.101896742963586,50.4608735405114,0.010392946226589,0.101945800436256
1.4711828816315e-08,1.99600798403193e-23,4.4676705160877e-12,1.47172206451314e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.67776315354476e-05,1.01298302993999e-15,3.1827394331613e-08,53.6884209134408,0.0103829462265871,0.101896742963586,53.6884209134503,0.010392946226589,0.101945800436256
1.57041206244743e-08,1.99600798403193e-23,4.4676705160877e-12,1.57105047450988e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.79099754094103e-05,1.01298302993999e-15,3.1827394331613e-08,57.3119213101222,0.0103829462265871,0.101896742963586,57.3119213101323,0.010392946226589,0.101945800436256
1.68035313490133e-08,1.99600798403193e-23,4.4676705160877e-12,1.68110148803624e-08,9.99001996007982e-24,3.16069928339914e-12,,,,1.91645569636106e-05,1.01298302993999e-15,3.1827394331613e-08,61.3265822835638,0.0103829462265871,0.101896742963586,61.3265822835746,0.010392946226589,0.101945800436256
1.80036661158016e-08,1.99600798403193e-23,4.4676705160877e-12,1.80123497819174e-08,9.99001996007982e-24,3.16069928339914e-12,,,,2.05340787513832e-05,1.01298302993999e-15,3.1827394331613e-08,65.7090520044366,0.0103829462265871,0.101896742963586,65.7090520044482,0.010392946226589,0.101945800436256
1.92924325446012e-08,1.99600798403193e-23,4.4676705160877e-12,1.93024049771458e-08,9.99001996007982e-24,3.16069928339914e-12,,,,2.20047416739434e-05,1.01298302993999e-15,3.1827394331613e-08,70.4151733566299,0.0103829462265871,0.101896742963586,70.4151733566423,0.010392946226589,0.101945800436256
2.06519540342683e-08,1.99600798403193e-23,4.4676705160877e-12,2.06632859883026e-08,9.99001996007982e-24,3.16069928339914e-12,,,,2.35561460266619e-05,1.01298302993999e-15,3.1827394331613e-08,75.3796672853302,0.0103829462265871,0.101896742963586,75.3796672853435,0.010392946226589,0.101945800436256
2.2059162952008e-08,1.99600798403193e-23,4.4676705160877e-12,2.20719021149601e-08,9.99001996007982e-24,3.16069928339914e-12,,,,2.51619684110512e-05,1.01298302993999e-15,3.1827394331613e-08,80.5182989153767,0.0103829462265871,0.101896742963586,80.518298915391,0.010392946226589,0.101945800436256
2.34871178491414e-08,1.99600798403193e-23,4.4676705160877e-12,2.35012849669905e-08,9.99001996007982e-24,3.16069928339914e-12,,,,2.67914648623658e-05,1.01298302993999e-15,3.1827394331613e-08,85.732687559584,0.0103829462265871,0.101896742963586,85.7326875595992,0.010392946226589,0.101945800436256
