Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69
DG.postprandial,DG.postprandial,DG.postprandial,DGd.postprandial,DGd.postprandial,DGd.postprandial,G.postprandial,G.postprandial,G.postprandial,Gb.postprandial,Gb.postprandial,Gb.postprandial,S.postprandial,S.postprandial,S.postprandial,Sb.postprandial,Sb.postprandial,Sb.postprandial,I.postprandial,I.postprandial,I.postprandial,Y.postprandial,Y.postprandial,Y.postprandial,Spa.pancreas,Spa.pancreas,Spa.pancreas,Scell.pancreas,Scell.pancreas,Scell.pancreas,Sis.pancreas,Sis.pancreas,Sis.pancreas,Rcell.exocytosis,Rcell.exocytosis,Rcell.exocytosis,G.exocytosis,G.exocytosis,G.exocytosis,kt.exocytosis,kt.exocytosis,kt.exocytosis,Npatch.exocytosis,Npatch.exocytosis,Npatch.exocytosis,Nvesicle.exocytosis,Nvesicle.exocytosis,Nvesicle.exocytosis,Dvesicle.exocytosis,Dvesicle.exocytosis,Dvesicle.exocytosis,Ninsulin.exocytosis,Ninsulin.exocytosis,Ninsulin.exocytosis,S.exocytosis,S.exocytosis,S.exocytosis,Gcell.C,Gcell.C,Gcell.C,G.C,G.C,G.C,Scell.C,Scell.C,Scell.C,Spa.C,Spa.C,Spa.C
0.22506,1.0059,1.0029,0.046232,1.9608e-06,0.0014003,5.0992,0.0099999,0.1,4.8741,0.99578,0.99789,34,0.00024573,0.015676,34,0.01,0.1,25,0.01,0.1,2.5328e-06,0.01,0.1,33.9993,0.058292,0.24144,9.32e-09,3.61e-21,6.0083e-11,1.0625e-05,5.6916e-15,7.5442e-08,6,0.01,0.1,2.5498,0.00041,0.020248,10.0002,10.0029,3.1627,5.9998,0.01,0.1,300.0106,10.363,3.2192,0.0032,1e-08,0.0001,1.7917e-06,9.9955e-15,9.9977e-08,9.32e-09,1e-20,1e-10,2.5498,0.0004,0.02,5.0996,0.0025,0.05,9.32e-09,3.6e-21,6e-11,33.9999,0.00058292,0.024144
0.27409,1.0258,1.0128,0.055867,1.9608e-06,0.0014003,5.146,0.020026,0.14151,4.8719,1.0057,1.0028,62.2676,2.7659,1.6631,34,0.01,0.1,32.2,0.00065727,0.025637,0.67529,9.0626,3.0104,33.9268,1.1877,1.0898,9.3001e-09,8.8474e-20,2.9745e-10,1.0602e-05,1.1598e-13,3.4056e-07,6,0.01,0.1,2.5592,0.00081105,0.028479,9.9824,0.08073,0.28413,5.9998,0.01001,0.10005,298.9433,254.6289,15.9571,0.0032,1e-08,0.0001,1.7917e-06,1.0005e-14,1.0003e-07,9.2868e-09,2.4573e-19,4.9571e-10,2.5592,0.00080105,0.028303,5.123,0.0050066,0.070757,9.3002e-09,8.8465e-20,2.9743e-10,33.9927,0.011877,0.10898
0.33138,1.0458,1.0226,0.067355,1.9608e-06,0.0014003,5.201,0.030077,0.17343,4.8696,1.0156,1.0078,68.4188,9.3392,3.056,34,0.01,0.1,56.2556,1.7703,1.3305,1.4774,35.3201,5.9431,34.0616,1.2718,1.1278,9.3371e-09,9.48e-20,3.079e-10,1.0644e-05,1.242e-13,3.5242e-07,6,0.01,0.1,2.5702,0.0012131,0.034829,10.0154,0.085788,0.2929,5.9998,0.01002,0.1001,300.9264,272.8374,16.5178,0.0032,1e-08,0.0001,1.7917e-06,1.0015e-14,1.0008e-07,9.3484e-09,2.6331e-19,5.1313e-10,2.5702,0.0012031,0.034685,5.1505,0.0075192,0.086714,9.337e-09,9.479e-20,3.0788e-10,34.0062,0.012718,0.11278
0.39538,1.0653,1.0321,0.080982,1.9608e-06,0.0014003,5.2628,0.040147,0.20037,4.8674,1.0255,1.0127,75.7155,19.9189,4.4631,34,0.01,0.1,65.9862,7.1922,2.6818,2.4272,77.5868,8.8083,34.2203,1.3562,1.1646,9.3807e-09,1.0114e-19,3.1803e-10,1.0694e-05,1.3244e-13,3.6393e-07,6,0.01,0.1,2.5826,0.0016159,0.040198,10.0543,0.090858,0.30143,5.9998,0.01003,0.10015,303.2596,291.09,17.0614,0.0032,1e-08,0.0001,1.7917e-06,1.0025e-14,1.0013e-07,9.4209e-09,2.8092e-19,5.3002e-10,2.5826,0.0016059,0.040073,5.1814,0.010037,0.10018,9.3809e-09,1.0113e-19,3.1802e-10,34.022,0.013562,0.11646
0.47112,1.0842,1.0413,0.097042,1.9608e-06,0.0014003,5.3363,0.050231,0.22412,4.8652,1.0354,1.0176,84.3113,34.2205,5.8498,34,0.01,0.1,73.7696,16.7243,4.0895,3.5406,134.7269,11.6072,34.3984,1.4407,1.2003,9.4294e-09,1.0749e-19,3.2786e-10,1.0749e-05,1.407e-13,3.751e-07,6,0.01,0.1,2.5973,0.0020192,0.044936,10.098,0.095936,0.30973,5.9998,0.01004,0.1002,305.8789,309.3689,17.5889,0.0032,1e-08,0.0001,1.7917e-06,1.0035e-14,1.0018e-07,9.5023e-09,2.9856e-19,5.4641e-10,2.5973,0.0020092,0.044824,5.2182,0.012558,0.11206,9.4293e-09,1.0748e-19,3.2784e-10,34.0398,0.014407,0.12003
0.56145,1.1026,1.0501,0.11583,1.9608e-06,0.0014003,5.4244,0.060324,0.24561,4.8629,1.0454,1.0224,94.3675,51.973,7.2092,34,0.01,0.1,82.203,30.0852,5.485,4.8476,205.6581,14.3408,34.6104,1.5254,1.2351,9.4876e-09,1.1385e-19,3.3742e-10,1.0816e-05,1.4896e-13,3.8595e-07,6,0.01,0.1,2.6149,0.0024229,0.049223,10.1499,0.10102,0.31784,5.9998,0.01005,0.10025,308.9969,327.671,18.1017,0.0032,1e-08,0.0001,1.7917e-06,1.0045e-14,1.0023e-07,9.5992e-09,3.1622e-19,5.6234e-10,2.6149,0.0024129,0.049122,5.2622,0.015081,0.1228,9.4875e-09,1.1384e-19,3.374e-10,34.061,0.015254,0.12351
0.66897,1.1204,1.0585,0.13759,1.9608e-06,0.0014003,5.5297,0.070422,0.26537,4.8607,1.0553,1.0273,106.032,72.9183,8.5392,34,0.01,0.1,91.9342,46.9773,6.854,6.3864,289.349,17.0103,34.8645,1.6101,1.2689,9.5572e-09,1.2021e-19,3.4672e-10,1.0895e-05,1.5723e-13,3.9652e-07,6,0.01,0.1,2.6359,0.0028269,0.053168,10.2122,0.10611,0.32574,5.9998,0.01006,0.1003,312.7341,345.989,18.6008,0.0032,1e-08,0.0001,1.7917e-06,1.0055e-14,1.0028e-07,9.7153e-09,3.339e-19,5.7784e-10,2.6359,0.0028169,0.053074,5.3149,0.017605,0.13269,9.5573e-09,1.2021e-19,3.4671e-10,34.0864,0.016101,0.12689
0.79644,1.1377,1.0666,0.16253,1.9608e-06,0.0014003,5.655,0.080521,0.28376,4.8585,1.0652,1.0321,119.4229,96.8103,9.8392,34.0008,0.01,0.1,103.2126,67.13,8.1933,8.2017,384.8175,19.6168,35.2113,1.6948,1.3018,9.6522e-09,1.2658e-19,3.5578e-10,1.1004e-05,1.6551e-13,4.0682e-07,6,0.01,0.1,2.661,0.0032309,0.056841,10.2867,0.1112,0.33346,5.9998,0.01007,0.10035,317.2012,364.3157,19.0871,0.0032,1e-08,0.0001,1.7917e-06,1.0065e-14,1.0033e-07,9.854e-09,3.5159e-19,5.9295e-10,2.661,0.0032209,0.056753,5.3774,0.02013,0.14188,9.6523e-09,1.2657e-19,3.5577e-10,34.1211,0.016948,0.13018
0.94674,1.1544,1.0744,0.19071,1.9608e-06,0.0014003,5.8031,0.090619,0.30103,4.8563,1.0751,1.0369,134.6041,123.4152,11.1092,34.0023,0.01,0.1,116.1809,90.2916,9.5022,10.3452,491.133,22.1615,35.5243,1.7795,1.334,9.7381e-09,1.3295e-19,3.6462e-10,1.1101e-05,1.7378e-13,4.1687e-07,6,0.01,0.1,2.6906,0.0036348,0.060289,10.3752,0.11629,0.34101,5.9998,0.01008,0.1004,322.5147,382.6446,19.5613,0.0032,1e-08,0.0001,1.7916e-06,1.0075e-14,1.0038e-07,1.0019e-08,3.6928e-19,6.0768e-10,2.6906,0.0036248,0.060206,5.4516,0.022655,0.15052,9.7384e-09,1.3294e-19,3.6461e-10,34.1524,0.017795,0.1334
