0.0	0.001
0.002	0.004
0.004	0.009
0.008	0.016
0.012	0.025
0.018	0.035
0.024	0.048
0.031	0.063
0.04	0.079
0.049	0.098
0.059	0.119
0.071	0.141
0.083	0.166
0.096	0.192
0.11	0.221
0.125	0.251
0.142	0.283
0.159	0.318
0.177	0.354
0.196	0.392
0.216	0.432
0.237	0.474
0.259	0.519
0.282	0.565
0.306	0.613
0.331	0.663
0.357	0.715
0.384	0.769
0.412	0.824
0.441	0.882
0.471	0.942
0.502	1
0.534	1.068
0.567	1.133
0.6	1.201
0.635	1.27
0.671	1.342
0.708	1.416
0.746	1.491
0.784	1.568
0.824	1.648
0.865	1.729
0.906	1.813
0.949	1.898
1	1.985
1.037	2.074
1.083	2.165
1.129	2.259
1.177	2.354
1.225	2.451
1.275	2.55
1.325	2.651
1.377	2.754
1.429	2.859
1.483	2.965
1.537	3.074
1.592	3.185
1.649	3.298
1.706	3.412
1.765	3.529
1.824	3.648
1.884	3.768
1.945	3.891
2.008	4.015
2.071	4.142
2.135	4.27
2.2	4.401
2.266	4.533
2.334	4.667
2.402	4.803
2.471	4.942
2.541	5.082
2.612	5.224
2.684	5.368
2.757	5.514
2.831	5.662
2.906	5.812
2.982	5.964
3.059	6.118
3.137	6.274
3.216	6.432
3.296	6.592
3.377	6.753
3.458	6.917
3.541	7.083
3.625	7.25
3.71	7.42
3.796	7.591
3.882	7.765
3.97	7.94
4.059	8.118
4.149	8.297
4.239	8.479
4.331	8.662
4.424	8.847
4.517	9.034
4.612	9.224
4.707	9.415
4.804	9.608
4.901	9.803
5.0	10.0
