network_Gin_1,network_Gin_2,network_Gin_3,network_cAMP_1,network_cAMP_2,network_cAMP_3,network_Ca_1,network_Ca_2,network_Ca_3,network_S_1,network_S_2,network_S_3,network_I_1,network_I_2,network_I_3,meta_network_Gin_1,meta_network_Gin_2,meta_network_Gin_3,meta_network_cAMP_1,meta_network_cAMP_2,meta_network_cAMP_3,meta_network_Ca_1,meta_network_Ca_2,meta_network_Ca_3,meta_network_S_1,meta_network_S_2,meta_network_S_3,meta_network_I_1,meta_network_I_2,meta_network_I_3
2.5555,2e-12,1.41421356237309e-06,0.0013,1e-12,1e-06,0.000100000000000009,1e-12,1e-06,34,0.0001,0.01,25,0.0001,0.01,2.55549896454306,0.000599999970703126,0.0244948968298118,0.00130000000001482,9.99999999999992e-13,9.99999999999996e-07,0.000100000000257193,9.9999999999775e-13,9.99999999998875e-07,34.0000000000376,0.0001,0.01,25,0.0001,0.01
2.5555,2e-12,1.41421356237309e-06,0.00119566666666667,1.11111123912222e-12,1.05409261411046e-06,0.000100000000000023,1.25147928994096e-12,1.11869535171152e-06,34.0000000000005,0.115699999999991,0.340147027033885,25,0.000138516435986159,0.0117693005733629,2.57592590870232,0.000849994889862265,0.0291546718359556,0.00102900000001968,1.11111123912226e-12,1.05409261411048e-06,0.000100000000386704,1.25147928993547e-12,1.11869535170906e-06,34.0000000874711,0.115699999999698,0.340147027033456,25.0000000000138,0.000138516435986159,0.0117693005733629
2.5555,2e-12,1.41421356237309e-06,0.00432899530555556,1.12345695649686e-12,1.05993252450185e-06,9.59871794872264e-05,1.31500657481158e-12,1.14673736086847e-06,33.9999999996197,0.144771005916772,0.380487852521959,24.9999999999996,0.0157731455449809,0.125591184184961,2.59775986553203,0.00109998474630528,0.0331660179446565,0.00252343963741582,5.40760635905018e-12,2.32542605968244e-06,8.95769235275095e-05,1.31500657480319e-12,1.14673736086481e-06,34.0000001314643,0.144771005916353,0.380487852521408,25.0000000321679,0.0157731455449384,0.125591184184792
2.5555,2e-12,1.41421356237309e-06,0.00695749139351852,1.12482871460558e-12,1.06057942399689e-06,0.000214493409188094,1.33104363029107e-12,1.15370864185507e-06,32.6356410254293,0.152114760048039,0.39001892267945,24.9999998999857,0.0314236667276017,0.177267218423491,2.61974723083345,0.00134951699416176,0.0367357726768032,0.00381569873406592,1.31441804168559e-11,3.62549036915779e-06,0.000141843832530833,1.33738112949468e-12,1.15645195727911e-06,30.4561540090093,0.152114760087771,0.390018922730386,25.0000000637635,0.0314236667273754,0.177267218422853
2.5555,2e-12,1.41421356237309e-06,0.00862568336033951,1.1249811360565e-12,1.0606512791943e-06,0.000374842527421764,1.33508383960085e-12,1.15545828120311e-06,72.9277591262689,0.153968643661876,0.392388383698952,24.4983977463103,0.0402544224370636,0.20063504787814,2.64504265794362,0.00159825128833647,0.0399781351282982,0.00464535301003134,2.37916543764496e-11,4.87766894904212e-06,0.000217679559812703,1.36237016689818e-12,1.16720613727747e-06,48.2269030290668,0.154701258567429,0.393320808713993,23.6971154730145,0.0402544224368897,0.200635047877707
2.5555,2e-12,1.41421356237309e-06,0.00957776065136317,1.1249980729024e-12,1.06065926333691e-06,0.000519178316031718,1.33609961319256e-12,1.15589775204927e-06,127.446459325281,0.154435691857734,0.392983068156548,39.0608723603056,0.0441937994499514,0.2102232133946,2.67592644327163,0.0018459397437677,0.0429644008891978,0.00512321305503486,3.66574303626694e-11,6.05453799745855e-06,0.000287507204735311,1.40152277250664e-12,1.18385927056667e-06,74.0110505301844,0.157589991372811,0.396976058941608,29.5790368347483,0.0442928228766943,0.210458601336924
2.5555,2e-12,1.41421356237309e-06,0.0100931263994127,1.12499995508283e-12,1.06066015060566e-06,0.000627964567683673,1.33635457277257e-12,1.15600803317822e-06,176.520627452715,0.15455311528522,0.393132439879006,66.3857531211446,0.0457383612724393,0.213865287675301,2.71326176406041,0.00209236440242461,0.0457423698820318,0.00538529153050349,5.0932875607678e-11,7.13672723366096e-06,0.000340800256623934,1.45645722042748e-12,1.20683769431829e-06,97.7524492021895,0.162116032208925,0.402636352319217,41.9994633628498,0.046362756558896,0.215320125763701
2.5555,2e-12,1.41421356237309e-06,0.0103639183076167,1.12500016429555e-12,1.06066024922949e-06,0.000702179453050103,1.33641848899322e-12,1.15603567807971e-06,213.507953011419,0.154582588612519,0.393169923331527,98.0901655415281,0.0462963409438304,0.215165845207436,2.75780901208578,0.00233732655151035,0.0483459052196807,0.00552665657402123,6.59944483910167e-11,8.12369671953703e-06,0.000377526725244275,1.52480861642512e-12,1.23483141214707e-06,115.872087116063,0.168466454524933,0.410446652471345,56.9381321072839,0.0481868599226983,0.219515056255142
2.5555,2e-12,1.41421356237309e-06,0.0105036839397785,1.12500018756254e-12,1.06066026019765e-06,0.000749701969125748,1.33643449821004e-12,1.15604260224701e-06,238.741014037966,0.154589977327767,0.393179319557586,127.540655265874,0.0464868054766104,0.215607990289345,2.81070620013517,0.00258063703176338,0.0507999707850643,0.00560393596649962,8.14470021864123e-11,9.02479928787407e-06,0.000401327079871774,1.60295173170982e-12,1.26607730084297e-06,128.359087258468,0.176367877198437,0.419961756828449,71.0690982960576,0.050560231210578,0.224856023291745
2.5555,2e-12,1.41421356237309e-06,0.0105750233152126,1.12500019015316e-12,1.06066026141888e-06,0.000778838828400364,1.33643850562698e-12,1.15604433549366e-06,254.898669503008,0.154591827993158,0.393181673012817,151.542756165618,0.0465491710525475,0.215752569052022,2.87342710495509,0.0028221309913872,0.0531237328450025,0.00564853891295616,9.7061774805721e-11,9.85199344324391e-06,0.000416199553578574,1.68750740034524e-12,1.29904095406775e-06,136.451211143182,0.185401228884186,0.430582429836827,82.725391682307,0.0537363640389172,0.231811052452029
