INPUT_kt_mu,INPUT_kt_cov,Gb.postprandial_mu,Gb.postprandial_sigma2,Gb.postprandial_sigma,G.postprandial_mu,G.postprandial_sigma2,G.postprandial_sigma,G.exocytosis_mu,G.exocytosis_sigma2,G.exocytosis_sigma,S.postprandial_mu,S.postprandial_sigma2,S.postprandial_sigma,Spa.pancreas_mu,Spa.pancreas_sigma2,Spa.pancreas_sigma,Sis.pancreas_mu,Sis.pancreas_sigma2,Sis.pancreas_sigma,Scell.pancreas_mu,Scell.pancreas_sigma2,Scell.pancreas_sigma,S.exocytosis_mu,S.exocytosis_sigma2,S.exocytosis_sigma
10,0.001,5.06779759120124,0.0911480838313826,0.301907409368142,5.10055706805095,0.0203183279161895,0.14254237235359,2.55055090005908,0.00527983519421624,0.0726624744570142,-2278.5182076056,90.2992462226166,9.50259155297209,31.9611753609024,22.5097541361462,4.74444455507135,9.98786803504883e-06,2.19820873511984e-12,1.48263573918877e-06,8.76194747748701e-09,1.68400975188304e-18,1.29769401319535e-09,9.3196643930784e-09,3.47295049803336e-23,5.89317444000545e-12
10,0.004,5.0635521089153,0.0911525492589712,0.301914804636956,5.09911330897862,0.0203191619022063,0.142545297720431,2.55055090864308,0.00528008434265954,0.0726641888598472,-1025.0559187092,64.6302057337315,8.03929137012284,27.8615658436723,19.6230926526161,4.42979600575648,8.706745657478e-06,1.91631066321006e-12,1.38430873117598e-06,7.64318347224868e-09,1.46903523118633e-18,1.21203763604367e-09,9.31966409623199e-09,1.38762833466904e-22,1.17797637271256e-11
10,0.009,5.07082254185662,0.0911599036386356,0.301926983952471,5.10218671783949,0.020321205122157,0.14255246445487,2.55055088443786,0.00528049779634073,0.0726670337659432,100.381518449758,69.4186682265702,8.33178661672094,31.8194531407319,22.411062711281,4.73403239440553,9.94358003440516e-06,2.1885709857208e-12,1.47938196072576e-06,8.72327212226963e-09,1.67666073914636e-18,1.29485935110589e-09,9.31966360375784e-09,3.11636337085577e-22,1.76532245520635e-11
10,0.016,5.06958035132559,0.091170280215394,0.301944167380981,5.10120569798715,0.0203233458912674,0.142559972963197,2.55055094358435,0.00528107813203701,0.072671026771589,323.41364042722,104.492956318254,10.2221796265891,37.9390546262518,26.7220680286279,5.1693392255324,1.18559471444115e-05,2.60956392113602e-12,1.61541447348228e-06,1.03932827414314e-08,1.9977098580687e-18,1.41340364300815e-09,9.3196629133522e-09,5.52583593397755e-22,2.35070966603227e-11
10,0.025,5.07002591032998,0.0911835180006112,0.301966087500917,5.10087711190007,0.0203261732216746,0.142569888902512,2.55055087228472,0.00528182164994901,0.072676142233535,104.857157555947,95.1223763340724,9.75307009787546,35.134270065921,24.7477871493256,4.97471478070106,1.0979455797969e-05,2.41676473948617e-12,1.55459471872452e-06,9.62787027196078e-09,1.85068231295169e-18,1.36039785098025e-09,9.31966202740455e-09,8.60544738523872e-22,2.93350428416914e-11
10,0.035,5.07055159824406,0.0911982586106941,0.301990494238965,5.10123692949741,0.0203296785547328,0.142582181757514,2.55055088909516,0.00528264789329114,0.0726818264306225,-67.5857122176593,76.6660550174259,8.7559154300065,30.2086608154549,21.2788755291088,4.61290315626816,9.44020963134844e-06,2.07800679910768e-12,1.44152932648201e-06,8.28369413022543e-09,1.59234614257473e-18,1.2618819844085e-09,9.31966105081376e-09,1.20033705609449e-21,3.46458807954783e-11
10,0.048,5.07059770609269,0.0912174305270843,0.302022235153447,5.10101320165109,0.0203338046559139,0.142596650226833,2.55055098463131,0.00528371998175819,0.0726892012733541,6.70214353370517,79.1255412633536,8.89525386165868,26.963444848867,18.9945211975699,4.35827043648852,8.42608407150537e-06,1.85492727181184e-12,1.3619571475681e-06,7.39808907084252e-09,1.42222699207225e-18,1.19257158781863e-09,9.31965978312104e-09,1.63835961228866e-21,4.04766551519349e-11
10,0.063,5.0713114535602,0.0912394278063438,0.302058649613521,5.10117348796814,0.0203388899041465,0.142614479994657,2.55055095187285,0.00528495360850278,0.0726976864040581,76.8912143572679,144.222922855092,12.0092848602692,29.724812706801,20.9410915133614,4.57614373827586,9.28900775736927e-06,2.04502036961489e-12,1.4300420866586e-06,8.1516537268507e-09,1.56719277060701e-18,1.25187570094119e-09,9.31965831799583e-09,2.13864180782828e-21,4.62454517528836e-11
10,0.079,5.07073566249469,0.0912628244680736,0.302097375804679,5.10115519765019,0.020344127854051,0.142632842830994,2.55055088492052,0.005286265167428,0.072706706481782,44.1877127947509,75.5399571030028,8.69137256726478,35.1312623084348,24.7515808182813,4.97509606121141,1.09785158796563e-05,2.41713521701915e-12,1.55471386982273e-06,9.62705026850091e-09,1.85096883697855e-18,1.36050315581352e-09,9.31965679656274e-09,2.66632583429714e-21,5.16364777487499e-11
10,0.098,5.07073910231171,0.0912907530772505,0.302143596783467,5.10115348443859,0.0203503682773601,0.14265471698251,2.55055101401574,0.0052878238403187,0.0727174245990512,47.7135912969214,89.8788892311893,9.48044773368797,28.730645966863,20.2445076316818,4.4993896954678,8.97833200723453e-06,1.97699519755776e-12,1.40605661250099e-06,7.88034924044181e-09,1.51531945378861e-18,1.23098312490002e-09,9.31965498606208e-09,3.28513043575943e-21,5.73160573989473e-11
