INPUT_kt_mu,INPUT_kt_cov,Gb.postprandial_mu,Gb.postprandial_sigma2,Gb.postprandial_sigma,G.postprandial_mu,G.postprandial_sigma2,G.postprandial_sigma,G.exocytosis_mu,G.exocytosis_sigma2,G.exocytosis_sigma,S.postprandial_mu,S.postprandial_sigma2,S.postprandial_sigma,Spa.pancreas_mu,Spa.pancreas_sigma2,Spa.pancreas_sigma,Sis.pancreas_mu,Sis.pancreas_sigma2,Sis.pancreas_sigma,Scell.pancreas_mu,Scell.pancreas_sigma2,Scell.pancreas_sigma,S.exocytosis_mu,S.exocytosis_sigma2,S.exocytosis_sigma
0,2.55,2.54323895777034,0.0944833383424165,0.307381421596063,2.8315809258,0.0210561778525133,0.145107470009346,1.41578398657557,0.00546426650556981,0.0739206771179066,23.1943148102779,84.9732521850732,9.21809373922142,-2.67845077638848,17.4381856297801,4.17590536647804,-8.37017032318786e-07,1.70294279795962e-12,1.30496850458531e-06,-7.35271657450864e-10,1.3063974542988e-18,1.14297745135186e-09,-9.32389443980323e-09,4.71749767301969e-20,2.17198012721564e-10
0.2,2.55,2.5937917949828,0.0944833383424165,0.307381421596063,2.87697202601552,0.0210561778525133,0.145107470009346,1.43847938292286,0.00546426650556981,0.0739206771179066,23.3525903401058,84.9732521850732,9.21809373922142,-2.13292404200464,17.4381856297801,4.17590536647804,-6.66539690216126e-07,1.70294279795962e-12,1.30496850458531e-06,-5.85516697945852e-10,1.3063974542988e-18,1.14297745135186e-09,-8.95102664252291e-09,4.71749767301969e-20,2.17198012721564e-10
0.4,2.55,2.64434463219812,0.0944833383424165,0.307381421596063,2.92236312623214,0.0210561778525133,0.145107470009346,1.46117477927069,0.00546426650556981,0.0739206771179066,23.5108658698462,84.9732521850732,9.21809373922142,-1.58739730763138,17.4381856297801,4.17590536647804,-4.96062348116769e-07,1.70294279795962e-12,1.30496850458531e-06,-4.35761738443742e-10,1.3063974542988e-18,1.14297745135186e-09,-8.57815884524235e-09,4.71749767301969e-20,2.17198012721564e-10
0.6,2.55,2.69489746941499,0.0944833383424165,0.307381421596063,2.96775422644917,0.0210561778525133,0.145107470009346,1.48387017561873,0.00546426650556981,0.0739206771179066,23.6691413995505,84.9732521850732,9.21809373922142,-1.04187057324431,17.4381856297801,4.17590536647804,-3.25585006013096e-07,1.70294279795962e-12,1.30496850458531e-06,-2.86006778937841e-10,1.3063974542988e-18,1.14297745135186e-09,-8.20529104796168e-09,4.71749767301969e-20,2.17198012721564e-10
0.8,2.55,2.74545030663039,0.0944833383424165,0.307381421596063,3.01314532666568,0.0210561778525133,0.145107470009346,1.50656557196651,0.00546426650556981,0.0739206771179066,23.8274169292937,84.9732521850732,9.21809373922142,-0.496343838860258,17.4381856297801,4.17590536647804,-1.5510766391037e-07,1.70294279795962e-12,1.30496850458531e-06,-1.36251819432771e-10,1.3063974542988e-18,1.14297745135186e-09,-7.83242325068112e-09,4.71749767301969e-20,2.17198012721564e-10
1,2.55,2.79600314384331,0.0944833383424165,0.307381421596063,3.05853642688143,0.0210561778525133,0.145107470009346,1.52926096831392,0.00546426650556981,0.0739206771179066,23.985692459107,84.9732521850732,9.21809373922142,0.0491828955187579,17.4381856297801,4.17590536647804,1.53696781907843e-08,1.70294279795962e-12,1.30496850458531e-06,1.35031400709186e-11,1.3063974542988e-18,1.14297745135186e-09,-7.45955545340076e-09,4.71749767301969e-20,2.17198012721564e-10
1.2,2.55,2.84655598106236,0.0944833383424165,0.307381421596063,3.10392752709924,0.0210561778525133,0.145107470009346,1.55195636466235,0.00546426650556981,0.0739206771179066,24.1439679887458,84.9732521850732,9.21809373922142,0.594709629900462,17.4381856297801,4.17590536647804,1.85847020292778e-07,1.70294279795962e-12,1.30496850458531e-06,1.63258099575346e-10,1.3063974542988e-18,1.14297745135186e-09,-7.08668765611991e-09,4.71749767301969e-20,2.17198012721564e-10
1.4,2.55,2.89710881827702,0.0944833383424165,0.307381421596063,3.14931862731559,0.0210561778525133,0.145107470009346,1.57465176101004,0.00546426650556981,0.0739206771179066,24.3022435185161,84.9732521850732,9.21809373922142,1.14023636428783,17.4381856297801,4.17590536647804,3.56324362396543e-07,1.70294279795962e-12,1.30496850458531e-06,3.13013059081328e-10,1.3063974542988e-18,1.14297745135186e-09,-6.71381985883942e-09,4.71749767301969e-20,2.17198012721564e-10
1.6,2.55,2.94766165548991,0.0944833383424165,0.307381421596063,3.19470972753131,0.0210561778525133,0.145107470009346,1.59734715735743,0.00546426650556981,0.0739206771179066,24.4605190483274,84.9732521850732,9.21809373922142,1.68576309866372,17.4381856297801,4.17590536647804,5.2680170449672e-07,1.70294279795962e-12,1.30496850458531e-06,4.62768018584159e-10,1.3063974542988e-18,1.14297745135186e-09,-6.34095206155907e-09,4.71749767301969e-20,2.17198012721564e-10
1.8,2.55,2.99821449270741,0.0944833383424165,0.307381421596063,3.24010082774855,0.0210561778525133,0.145107470009346,1.62004255370557,0.00546426650556981,0.0739206771179066,24.6187945780193,84.9732521850732,9.21809373922142,2.23128983305812,17.4381856297801,4.17590536647804,6.97279046602682e-07,1.70294279795962e-12,1.30496850458531e-06,6.12522978092071e-10,1.3063974542988e-18,1.14297745135186e-09,-5.96808426427835e-09,4.71749767301969e-20,2.17198012721564e-10
