## time mean(pmol/kg/min) SD
0	1.478	0.774
5	1.994	0.962
10	4.669	1.525
20	8.469	4.387
30	9.408	4.246
40	9.243	3.894
50	9.384	3.918
60	9.924	3.754
75	9.994	3.965
90	9.713	4.106
105	8.891	3.894
120	6.921	4.059
150	4.927	3.378
180	3.566	2.698
210	2.111	2.604
240	1.900	2.323
260	1.760	2.252
280	1.806	2.041
300	1.783	1.900
360	1.642	1.642
420	1.548	1.666
